01.06.2020 00:00;Bel_TB41_AF;Vwz_TB41_AF;Bel_TB41a_AF;Vwz_TB41a_AF;Bel_TF41_AF;Vwz_TF41_AF;Bel_TF41a_AF;Vwz_TF41a_AF
01.06.2020 00:00;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;1;600
01.06.2020 10:00;0;0;0;0;3;1800;3;1800
01.06.2020 11:00;0;0;0;0;0;0;1;600
01.06.2020 12:00;0;0;0;0;0;0;0;0
01.06.2020 13:00;0;0;1;1200;2;1200;3;1800
01.06.2020 14:00;1;600;0;0;0;0;1;600
01.06.2020 15:00;5;4200;2;1800;1;600;0;0
01.06.2020 16:00;1;600;0;0;3;1800;3;1800
01.06.2020 17:00;2;1200;0;0;0;0;1;600
01.06.2020 18:00;1;600;1;600;2;1200;2;1200
01.06.2020 19:00;5;4200;0;0;5;4200;2;1800
01.06.2020 20:00;0;0;0;0;0;0;0;0
01.06.2020 21:00;0;0;0;0;0;0;0;0
01.06.2020 22:00;0;0;0;0;1;600;1;600
01.06.2020 23:00;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;0;0
02.06.2020 06:00;0;0;0;0;0;0;0;0
02.06.2020 07:00;5;3000;0;0;12;8400;0;0
02.06.2020 08:00;2;1200;4;3600;3;1800;4;4200
02.06.2020 09:00;2;2400;3;2400;5;3600;5;4200
02.06.2020 10:00;5;4200;3;1800;16;12600;13;8400
02.06.2020 11:00;0;0;0;0;3;1800;1;600
02.06.2020 12:00;0;0;14;18600;3;2400;12;9000
02.06.2020 13:00;3;3000;4;4800;8;6000;4;2400
02.06.2020 14:00;1;600;0;0;4;2400;5;3000
02.06.2020 15:00;1;600;1;600;3;1800;4;2400
02.06.2020 16:00;4;4200;8;12000;10;6000;12;9600
02.06.2020 17:00;9;7800;3;2400;12;7800;5;3000
02.06.2020 18:00;3;1800;1;600;7;5400;5;3600
02.06.2020 19:00;2;1200;1;600;3;1800;2;1200
02.06.2020 20:00;0;0;0;0;1;600;4;3000
02.06.2020 21:00;0;0;0;0;0;0;0;0
02.06.2020 22:00;0;0;0;0;0;0;0;0
02.06.2020 23:00;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0
03.06.2020 06:00;0;0;0;0;1;600;0;0
03.06.2020 07:00;2;3000;6;9000;9;5400;1;600
03.06.2020 08:00;2;1200;2;1200;3;1800;2;1200
03.06.2020 09:00;1;600;0;0;3;1800;2;1200
03.06.2020 10:00;12;16200;2;3000;18;13800;11;7200
03.06.2020 11:00;2;1200;1;600;5;3600;4;2400
03.06.2020 12:00;0;0;6;7200;5;3000;10;7200
03.06.2020 13:00;1;600;4;8400;1;600;5;3600
03.06.2020 14:00;0;0;3;1800;5;3000;10;7800
03.06.2020 15:00;2;2400;4;4800;3;1800;9;7200
03.06.2020 16:00;4;3000;4;2400;10;6600;12;8400
03.06.2020 17:00;1;600;3;2400;3;1800;6;4800
03.06.2020 18:00;4;2400;3;3000;11;8400;4;3000
03.06.2020 19:00;1;600;1;600;2;1200;1;600
03.06.2020 20:00;0;0;0;0;1;600;1;600
03.06.2020 21:00;0;0;0;0;0;0;0;0
03.06.2020 22:00;0;0;0;0;1;600;0;0
03.06.2020 23:00;0;0;0;0;0;0;0;0
04.06.2020 00:00;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0
04.06.2020 04:00;0;0;0;0;0;0;0;0
04.06.2020 05:00;0;0;0;0;0;0;0;0
04.06.2020 06:00;0;0;0;0;0;0;0;0
04.06.2020 07:00;4;2400;3;2400;4;3000;2;1800
04.06.2020 08:00;1;600;1;600;3;1800;1;600
04.06.2020 09:00;4;3600;0;0;6;4200;1;600
04.06.2020 10:00;5;9600;2;1200;14;11400;13;13200
04.06.2020 11:00;1;600;0;0;1;600;1;600
04.06.2020 12:00;1;600;8;12600;5;6000;7;9000
04.06.2020 13:00;5;3600;1;600;3;1800;6;3600
04.06.2020 14:00;2;4200;1;600;5;3000;4;4800
04.06.2020 15:00;4;5400;1;1800;9;6600;6;4200
04.06.2020 16:00;1;600;1;600;6;3600;8;4800
04.06.2020 17:00;2;2400;3;1800;4;2400;6;4800
04.06.2020 18:00;5;3600;1;600;10;6600;6;4800
04.06.2020 19:00;1;1200;1;600;1;600;1;600
04.06.2020 20:00;0;0;0;0;1;600;2;1200
04.06.2020 21:00;0;0;0;0;0;0;0;0
04.06.2020 22:00;0;0;1;1200;0;0;1;600
04.06.2020 23:00;0;0;0;0;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;1;600
05.06.2020 01:00;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0
05.06.2020 07:00;2;1200;1;600;4;3600;0;0
05.06.2020 08:00;1;1800;0;0;0;0;1;600
05.06.2020 09:00;2;1200;2;1200;6;6000;0;0
05.06.2020 10:00;1;600;2;1200;3;1800;2;1200
05.06.2020 11:00;6;15000;1;600;10;7200;2;1200
05.06.2020 12:00;0;0;6;6000;4;2400;4;2400
05.06.2020 13:00;1;1200;3;2400;2;1200;5;3600
05.06.2020 14:00;0;0;0;0;1;600;1;600
05.06.2020 15:00;0;0;2;1800;6;3600;2;1200
05.06.2020 16:00;1;600;4;3000;5;3000;3;1800
05.06.2020 17:00;0;0;3;2400;1;600;2;1200
05.06.2020 18:00;1;600;1;600;1;600;0;0
05.06.2020 19:00;2;1200;2;1200;1;600;2;1200
05.06.2020 20:00;0;0;0;0;0;0;0;0
05.06.2020 21:00;0;0;0;0;0;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;2;1800
06.06.2020 03:00;0;0;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;0;0;0;0
06.06.2020 07:00;1;600;0;0;1;600;0;0
06.06.2020 08:00;0;0;0;0;1;600;0;0
06.06.2020 09:00;1;600;2;1200;1;600;1;600
06.06.2020 10:00;2;1200;3;2400;3;1800;5;3600
06.06.2020 11:00;3;2400;0;0;5;3000;2;1200
06.06.2020 12:00;2;1200;0;0;0;0;1;600
06.06.2020 13:00;0;0;2;1200;4;2400;1;600
06.06.2020 14:00;1;600;0;0;3;1800;2;1200
06.06.2020 15:00;0;0;2;1200;6;4800;5;3000
06.06.2020 16:00;3;1800;1;600;4;2400;2;1200
06.06.2020 17:00;2;4800;2;1200;8;6000;3;1800
06.06.2020 18:00;2;1200;0;0;5;3000;3;1800
06.06.2020 19:00;0;0;3;3000;1;600;3;1800
06.06.2020 20:00;0;0;0;0;0;0;0;0
06.06.2020 21:00;0;0;0;0;0;0;0;0
06.06.2020 22:00;0;0;0;0;0;0;1;600
06.06.2020 23:00;0;0;0;0;0;0;0;0
07.06.2020 00:00;0;0;0;0;0;0;0;0
07.06.2020 01:00;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;0;0;0;0;0
07.06.2020 03:00;0;0;0;0;0;0;0;0
07.06.2020 04:00;0;0;0;0;0;0;0;0
07.06.2020 05:00;0;0;0;0;0;0;0;0
07.06.2020 06:00;0;0;0;0;0;0;0;0
07.06.2020 07:00;0;0;0;0;0;0;0;0
07.06.2020 08:00;0;0;0;0;1;600;0;0
07.06.2020 09:00;0;0;1;600;0;0;0;0
07.06.2020 10:00;1;600;0;0;1;600;0;0
07.06.2020 11:00;0;0;0;0;1;600;3;1800
07.06.2020 12:00;0;0;0;0;0;0;4;3600
07.06.2020 13:00;0;0;2;1200;0;0;1;600
07.06.2020 14:00;0;0;1;600;0;0;4;2400
07.06.2020 15:00;0;0;0;0;3;1800;1;600
07.06.2020 16:00;1;600;0;0;1;600;0;0
07.06.2020 17:00;2;1200;2;1800;4;3000;2;2400
07.06.2020 18:00;1;600;1;600;1;600;3;2400
07.06.2020 19:00;1;600;0;0;2;1200;6;5400
07.06.2020 20:00;0;0;0;0;0;0;0;0
07.06.2020 21:00;0;0;0;0;0;0;1;600
07.06.2020 22:00;0;0;0;0;0;0;0;0
07.06.2020 23:00;0;0;0;0;0;0;0;0
08.06.2020 00:00;0;0;0;0;0;0;0;0
08.06.2020 01:00;0;0;0;0;0;0;0;0
08.06.2020 02:00;0;0;0;0;0;0;0;0
08.06.2020 03:00;0;0;0;0;0;0;0;0
08.06.2020 04:00;0;0;0;0;0;0;0;0
08.06.2020 05:00;0;0;0;0;0;0;0;0
08.06.2020 06:00;0;0;0;0;0;0;0;0
08.06.2020 07:00;3;1800;1;600;4;2400;1;600
08.06.2020 08:00;1;600;1;600;5;3000;2;1200
08.06.2020 09:00;1;600;2;1200;2;1200;4;2400
08.06.2020 10:00;5;6000;3;2400;9;6000;6;3600
08.06.2020 11:00;5;4800;10;10800;6;4200;8;6600
08.06.2020 12:00;1;600;5;6000;2;1200;8;6600
08.06.2020 13:00;3;3000;1;600;6;3600;7;4800
08.06.2020 14:00;6;5400;2;1200;12;9600;11;7200
08.06.2020 15:00;2;1200;0;0;7;4800;7;4200
08.06.2020 16:00;1;600;3;1800;11;9600;7;4200
08.06.2020 17:00;0;0;1;600;8;4800;3;1800
08.06.2020 18:00;5;3600;7;9000;4;3000;4;2400
08.06.2020 19:00;1;2400;1;600;3;1800;1;600
08.06.2020 20:00;0;0;0;0;0;0;0;0
08.06.2020 21:00;0;0;1;1800;0;0;1;600
08.06.2020 22:00;0;0;0;0;1;600;0;0
08.06.2020 23:00;0;0;0;0;0;0;0;0
09.06.2020 00:00;0;0;0;0;0;0;0;0
09.06.2020 01:00;0;0;0;0;0;0;0;0
09.06.2020 02:00;0;0;0;0;0;0;0;0
09.06.2020 03:00;0;0;0;0;0;0;0;0
09.06.2020 04:00;0;0;0;0;0;0;0;0
09.06.2020 05:00;0;0;0;0;0;0;2;1200
09.06.2020 06:00;0;0;0;0;0;0;0;0
09.06.2020 07:00;3;2400;3;1800;9;6600;2;1200
09.06.2020 08:00;2;1200;1;600;3;1800;3;1800
09.06.2020 09:00;1;1800;1;600;3;1800;5;3600
09.06.2020 10:00;8;6000;5;5400;10;8400;8;4200
09.06.2020 11:00;1;600;0;0;4;2400;4;2400
09.06.2020 12:00;3;1800;6;5400;5;3000;14;10200
09.06.2020 13:00;1;600;1;600;4;2400;8;4800
09.06.2020 14:00;1;1800;0;0;7;6000;9;12600
09.06.2020 15:00;2;4800;2;1200;6;3600;11;11400
09.06.2020 16:00;2;1200;6;5400;2;1200;14;12000
09.06.2020 17:00;2;1200;4;2400;12;9000;7;4200
09.06.2020 18:00;2;1200;4;2400;5;3600;4;2400
09.06.2020 19:00;2;1200;1;600;5;3600;2;1200
09.06.2020 20:00;0;0;0;0;1;600;1;600
09.06.2020 21:00;0;0;0;0;1;600;0;0
09.06.2020 22:00;0;0;0;0;0;0;0;0
09.06.2020 23:00;0;0;0;0;0;0;0;0
10.06.2020 00:00;0;0;0;0;0;0;0;0
10.06.2020 01:00;0;0;0;0;0;0;0;0
10.06.2020 02:00;0;0;0;0;0;0;0;0
10.06.2020 03:00;0;0;0;0;0;0;0;0
10.06.2020 04:00;0;0;0;0;0;0;0;0
10.06.2020 05:00;0;0;0;0;0;0;0;0
10.06.2020 06:00;0;0;0;0;1;600;0;0
10.06.2020 07:00;3;1800;2;1200;8;4800;3;2400
10.06.2020 08:00;1;1200;1;600;3;1800;5;3600
10.06.2020 09:00;0;0;2;1200;2;1200;1;600
10.06.2020 10:00;9;10200;17;25800;7;4200;7;4800
10.06.2020 11:00;0;0;2;1200;2;1200;2;1200
10.06.2020 12:00;0;0;14;16800;2;1200;8;4800
10.06.2020 13:00;0;0;4;4200;2;2400;4;2400
10.06.2020 14:00;1;600;2;1200;1;600;6;3600
10.06.2020 15:00;1;600;2;1200;0;0;4;2400
10.06.2020 16:00;1;600;4;4200;2;1200;7;4800
10.06.2020 17:00;1;600;12;25800;4;2400;6;5400
10.06.2020 18:00;2;2400;1;1200;5;4200;5;4200
10.06.2020 19:00;2;2400;1;600;4;2400;4;2400
10.06.2020 20:00;0;0;0;0;0;0;0;0
10.06.2020 21:00;0;0;0;0;1;600;2;1200
10.06.2020 22:00;0;0;0;0;0;0;0;0
10.06.2020 23:00;0;0;0;0;0;0;0;0
11.06.2020 00:00;0;0;0;0;0;0;0;0
11.06.2020 01:00;0;0;0;0;0;0;0;0
11.06.2020 02:00;0;0;0;0;0;0;0;0
11.06.2020 03:00;0;0;0;0;0;0;0;0
11.06.2020 04:00;0;0;0;0;0;0;0;0
11.06.2020 05:00;0;0;0;0;0;0;0;0
11.06.2020 06:00;0;0;0;0;0;0;0;0
11.06.2020 07:00;0;0;0;0;0;0;0;0
11.06.2020 08:00;0;0;0;0;1;600;0;0
11.06.2020 09:00;0;0;0;0;0;0;0;0
11.06.2020 10:00;1;600;0;0;0;0;0;0
11.06.2020 11:00;0;0;1;600;0;0;0;0
11.06.2020 12:00;0;0;0;0;2;1200;0;0
11.06.2020 13:00;0;0;0;0;1;600;0;0
11.06.2020 14:00;0;0;2;1800;1;600;4;2400
11.06.2020 15:00;2;1200;1;600;4;2400;0;0
11.06.2020 16:00;0;0;1;600;1;600;1;600
11.06.2020 17:00;0;0;0;0;0;0;1;600
11.06.2020 18:00;1;600;0;0;2;1200;0;0
11.06.2020 19:00;0;0;0;0;0;0;0;0
11.06.2020 20:00;0;0;0;0;3;1800;0;0
11.06.2020 21:00;0;0;0;0;1;600;0;0
11.06.2020 22:00;0;0;0;0;0;0;2;1800
11.06.2020 23:00;0;0;0;0;0;0;0;0
12.06.2020 00:00;0;0;0;0;0;0;0;0
12.06.2020 01:00;0;0;0;0;0;0;0;0
12.06.2020 02:00;0;0;0;0;0;0;0;0
12.06.2020 03:00;0;0;0;0;0;0;0;0
12.06.2020 04:00;0;0;0;0;0;0;0;0
12.06.2020 05:00;0;0;0;0;0;0;0;0
12.06.2020 06:00;0;0;0;0;0;0;0;0
12.06.2020 07:00;0;0;0;0;1;600;0;0
12.06.2020 08:00;1;600;1;600;3;1800;1;600
12.06.2020 09:00;1;600;1;1200;4;2400;1;600
12.06.2020 10:00;3;2400;3;1800;6;4200;5;3000
12.06.2020 11:00;1;1800;0;0;6;4800;2;1200
12.06.2020 12:00;0;0;0;0;0;0;2;1200
12.06.2020 13:00;1;600;0;0;2;1200;2;1200
12.06.2020 14:00;3;1800;2;1200;2;1200;2;1200
12.06.2020 15:00;4;2400;2;1200;5;3000;3;1800
12.06.2020 16:00;2;1800;1;600;8;5400;7;4800
12.06.2020 17:00;0;0;2;1200;10;9000;4;2400
12.06.2020 18:00;6;6600;1;600;9;6600;6;4200
12.06.2020 19:00;3;3600;0;0;6;4200;3;2400
12.06.2020 20:00;0;0;0;0;1;600;1;600
12.06.2020 21:00;0;0;0;0;0;0;0;0
12.06.2020 22:00;0;0;0;0;0;0;0;0
12.06.2020 23:00;0;0;0;0;0;0;0;0
13.06.2020 00:00;0;0;0;0;0;0;0;0
13.06.2020 01:00;0;0;0;0;0;0;0;0
13.06.2020 02:00;0;0;2;1800;0;0;0;0
13.06.2020 03:00;0;0;0;0;0;0;0;0
13.06.2020 04:00;0;0;0;0;0;0;0;0
13.06.2020 05:00;0;0;0;0;0;0;0;0
13.06.2020 06:00;0;0;0;0;0;0;0;0
13.06.2020 07:00;2;1200;0;0;2;1200;0;0
13.06.2020 08:00;1;600;0;0;2;1200;2;1200
13.06.2020 09:00;0;0;1;600;2;1200;0;0
13.06.2020 10:00;0;0;1;600;1;600;6;4200
13.06.2020 11:00;1;1200;0;0;3;1800;1;600
13.06.2020 12:00;1;600;0;0;7;6000;1;600
13.06.2020 13:00;6;13200;0;0;10;6600;2;1200
13.06.2020 14:00;1;600;1;600;4;3000;5;3600
13.06.2020 15:00;1;600;0;0;4;2400;0;0
13.06.2020 16:00;1;2400;1;600;2;1800;4;3600
13.06.2020 17:00;2;1800;1;600;6;4200;2;1200
13.06.2020 18:00;0;0;1;600;3;1800;4;2400
13.06.2020 19:00;1;600;1;600;3;1800;1;600
13.06.2020 20:00;1;600;0;0;1;600;0;0
13.06.2020 21:00;0;0;0;0;0;0;0;0
13.06.2020 22:00;0;0;0;0;0;0;0;0
13.06.2020 23:00;0;0;0;0;0;0;0;0
14.06.2020 00:00;0;0;0;0;0;0;0;0
14.06.2020 01:00;0;0;0;0;0;0;0;0
14.06.2020 02:00;0;0;0;0;0;0;0;0
14.06.2020 03:00;0;0;0;0;1;600;0;0
14.06.2020 04:00;0;0;0;0;0;0;0;0
14.06.2020 05:00;0;0;0;0;0;0;0;0
14.06.2020 06:00;0;0;0;0;0;0;0;0
14.06.2020 07:00;0;0;0;0;0;0;0;0
14.06.2020 08:00;0;0;0;0;0;0;0;0
14.06.2020 09:00;0;0;0;0;0;0;0;0
14.06.2020 10:00;1;600;0;0;1;600;1;600
14.06.2020 11:00;1;1800;1;600;2;1800;2;1200
14.06.2020 12:00;2;1200;0;0;2;1200;2;1200
14.06.2020 13:00;0;0;0;0;1;600;1;600
14.06.2020 14:00;0;0;2;2400;1;600;3;2400
14.06.2020 15:00;0;0;0;0;0;0;0;0
14.06.2020 16:00;0;0;0;0;0;0;0;0
14.06.2020 17:00;0;0;0;0;2;1200;0;0
14.06.2020 18:00;0;0;0;0;2;1200;0;0
14.06.2020 19:00;1;600;0;0;0;0;1;600
14.06.2020 20:00;0;0;1;600;0;0;0;0
14.06.2020 21:00;0;0;0;0;0;0;0;0
14.06.2020 22:00;0;0;0;0;0;0;0;0
14.06.2020 23:00;0;0;0;0;0;0;0;0
15.06.2020 00:00;0;0;0;0;0;0;0;0
15.06.2020 01:00;0;0;0;0;0;0;0;0
15.06.2020 02:00;0;0;0;0;0;0;0;0
15.06.2020 03:00;0;0;0;0;0;0;0;0
15.06.2020 04:00;0;0;0;0;0;0;0;0
15.06.2020 05:00;0;0;0;0;0;0;0;0
15.06.2020 06:00;0;0;0;0;0;0;0;0
15.06.2020 07:00;4;3000;1;1200;2;1200;1;600
15.06.2020 08:00;2;1200;2;1200;3;1800;5;3600
15.06.2020 09:00;1;600;1;600;5;3600;2;1200
15.06.2020 10:00;5;10200;2;1200;7;5400;5;3000
15.06.2020 11:00;2;1200;0;0;3;1800;1;600
15.06.2020 12:00;3;3000;13;16800;5;3000;12;8400
15.06.2020 13:00;3;1800;2;1200;4;3000;2;1200
15.06.2020 14:00;3;3000;5;6600;7;4800;9;7800
15.06.2020 15:00;4;3000;2;1800;4;3000;7;4800
15.06.2020 16:00;0;0;2;1200;7;5400;6;3600
15.06.2020 17:00;3;2400;2;1200;9;6600;9;6000
15.06.2020 18:00;1;600;1;600;4;2400;3;1800
15.06.2020 19:00;1;1200;0;0;3;1800;3;1800
15.06.2020 20:00;0;0;0;0;0;0;0;0
15.06.2020 21:00;0;0;0;0;1;600;1;600
15.06.2020 22:00;0;0;0;0;0;0;0;0
15.06.2020 23:00;0;0;0;0;0;0;0;0
16.06.2020 00:00;0;0;0;0;0;0;0;0
16.06.2020 01:00;0;0;0;0;0;0;0;0
16.06.2020 02:00;0;0;0;0;0;0;0;0
16.06.2020 03:00;0;0;0;0;0;0;0;0
16.06.2020 04:00;0;0;0;0;0;0;0;0
16.06.2020 05:00;0;0;0;0;0;0;0;0
16.06.2020 06:00;0;0;0;0;0;0;0;0
16.06.2020 07:00;5;3000;1;1200;9;7800;0;0
16.06.2020 08:00;2;1800;2;1200;4;2400;1;600
16.06.2020 09:00;0;0;0;0;4;3000;2;1200
16.06.2020 10:00;10;10200;12;21000;9;5400;7;4800
16.06.2020 11:00;0;0;2;2400;7;5400;3;1800
16.06.2020 12:00;1;1200;10;16200;5;3000;10;6600
16.06.2020 13:00;0;0;3;6000;1;600;9;7200
16.06.2020 14:00;1;600;1;600;2;1200;4;3600
16.06.2020 15:00;3;2400;3;4800;5;3600;6;3600
16.06.2020 16:00;5;6000;2;1200;9;6600;4;2400
16.06.2020 17:00;1;600;3;1800;8;6000;9;5400
16.06.2020 18:00;0;0;0;0;5;3000;6;3600
16.06.2020 19:00;1;1200;0;0;2;1200;0;0
16.06.2020 20:00;0;0;0;0;0;0;2;1800
16.06.2020 21:00;0;0;0;0;1;600;2;1200
16.06.2020 22:00;0;0;0;0;0;0;0;0
16.06.2020 23:00;0;0;0;0;0;0;0;0
17.06.2020 00:00;0;0;0;0;0;0;0;0
17.06.2020 01:00;0;0;0;0;0;0;0;0
17.06.2020 02:00;0;0;0;0;0;0;0;0
17.06.2020 03:00;0;0;0;0;0;0;0;0
17.06.2020 04:00;0;0;0;0;0;0;0;0
17.06.2020 05:00;0;0;0;0;0;0;0;0
17.06.2020 06:00;0;0;0;0;0;0;0;0
17.06.2020 07:00;2;1200;1;600;9;6000;0;0
17.06.2020 08:00;2;1800;2;1200;4;3000;3;1800
17.06.2020 09:00;3;2400;3;3000;2;1200;4;3000
17.06.2020 10:00;16;32400;5;4200;14;10200;10;6600
17.06.2020 11:00;3;2400;0;0;3;1800;2;1200
17.06.2020 12:00;3;2400;9;13200;3;1800;14;12000
17.06.2020 13:00;2;1200;8;7800;5;3000;8;6000
17.06.2020 14:00;4;4800;4;3000;5;3000;6;3600
17.06.2020 15:00;3;2400;2;1800;7;4200;12;8400
17.06.2020 16:00;2;3000;4;2400;11;6600;12;8400
17.06.2020 17:00;5;4800;5;4800;12;7200;8;6000
17.06.2020 18:00;2;1200;1;600;2;1200;2;1800
17.06.2020 19:00;0;0;0;0;0;0;2;1800
17.06.2020 20:00;1;600;1;600;2;1200;0;0
17.06.2020 21:00;0;0;0;0;1;600;0;0
17.06.2020 22:00;0;0;0;0;1;600;2;2400
17.06.2020 23:00;0;0;0;0;0;0;0;0
18.06.2020 00:00;0;0;0;0;0;0;0;0
18.06.2020 01:00;0;0;0;0;0;0;0;0
18.06.2020 02:00;0;0;0;0;0;0;0;0
18.06.2020 03:00;0;0;0;0;0;0;0;0
18.06.2020 04:00;0;0;0;0;0;0;0;0
18.06.2020 05:00;0;0;0;0;0;0;0;0
18.06.2020 06:00;0;0;0;0;2;1200;0;0
18.06.2020 07:00;1;600;0;0;8;6000;0;0
18.06.2020 08:00;2;1800;4;3000;7;9600;4;2400
18.06.2020 09:00;2;2400;0;0;4;2400;3;1800
18.06.2020 10:00;6;9000;3;1800;7;5400;6;4800
18.06.2020 11:00;2;1200;0;0;3;1800;4;3000
18.06.2020 12:00;1;600;4;2400;4;2400;7;5400
18.06.2020 13:00;0;0;2;2400;1;600;3;1800
18.06.2020 14:00;2;1200;6;5400;6;3600;9;6000
18.06.2020 15:00;5;8400;3;4200;6;4200;8;6000
18.06.2020 16:00;1;3600;7;7800;9;6600;7;4200
18.06.2020 17:00;2;1200;1;600;11;9600;3;1800
18.06.2020 18:00;1;600;4;4200;7;4800;2;1200
18.06.2020 19:00;0;0;2;1200;1;600;1;600
18.06.2020 20:00;1;600;0;0;2;1200;3;3600
18.06.2020 21:00;1;600;0;0;0;0;0;0
18.06.2020 22:00;0;0;0;0;0;0;0;0
18.06.2020 23:00;0;0;0;0;0;0;0;0
19.06.2020 00:00;0;0;0;0;0;0;0;0
19.06.2020 01:00;0;0;0;0;0;0;0;0
19.06.2020 02:00;0;0;0;0;0;0;0;0
19.06.2020 03:00;0;0;0;0;0;0;0;0
19.06.2020 04:00;0;0;0;0;0;0;0;0
19.06.2020 05:00;0;0;0;0;0;0;0;0
19.06.2020 06:00;0;0;0;0;0;0;0;0
19.06.2020 07:00;2;3000;2;3600;10;7200;1;600
19.06.2020 08:00;2;1800;1;600;3;1800;3;2400
19.06.2020 09:00;1;600;1;600;6;3600;2;1200
19.06.2020 10:00;9;12600;7;6000;15;12000;15;11400
19.06.2020 11:00;1;600;1;1800;2;1200;1;600
19.06.2020 12:00;3;1800;14;21000;5;3000;14;9000
19.06.2020 13:00;1;600;6;6600;5;3600;11;8400
19.06.2020 14:00;3;2400;3;2400;2;1200;9;5400
19.06.2020 15:00;3;3000;2;2400;9;6000;7;4200
19.06.2020 16:00;1;600;1;600;7;4800;7;4200
19.06.2020 17:00;4;2400;2;1200;10;7200;4;2400
19.06.2020 18:00;0;0;1;600;5;4800;3;1800
19.06.2020 19:00;2;1200;2;1800;2;1200;2;1200
19.06.2020 20:00;1;600;0;0;2;1200;3;1800
19.06.2020 21:00;0;0;0;0;0;0;0;0
19.06.2020 22:00;0;0;1;600;0;0;1;600
19.06.2020 23:00;0;0;0;0;0;0;0;0
20.06.2020 00:00;0;0;0;0;0;0;0;0
20.06.2020 01:00;0;0;0;0;0;0;0;0
20.06.2020 02:00;0;0;0;0;0;0;0;0
20.06.2020 03:00;0;0;0;0;0;0;0;0
20.06.2020 04:00;0;0;0;0;0;0;0;0
20.06.2020 05:00;0;0;0;0;0;0;0;0
20.06.2020 06:00;0;0;0;0;0;0;0;0
20.06.2020 07:00;0;0;0;0;0;0;0;0
20.06.2020 08:00;1;600;0;0;0;0;1;600
20.06.2020 09:00;0;0;0;0;1;600;1;600
20.06.2020 10:00;4;3000;3;3000;4;2400;4;2400
20.06.2020 11:00;0;0;1;600;4;2400;3;1800
20.06.2020 12:00;1;600;1;600;4;2400;2;1200
20.06.2020 13:00;2;1800;1;600;10;7800;0;0
20.06.2020 14:00;2;3600;1;1200;3;1800;11;7200
20.06.2020 15:00;6;4200;2;1200;6;5400;3;1800
20.06.2020 16:00;0;0;2;1200;2;1200;4;3000
20.06.2020 17:00;0;0;2;1200;7;4200;10;7200
20.06.2020 18:00;1;600;3;1800;2;1200;3;1800
20.06.2020 19:00;1;1200;1;600;2;1200;1;600
20.06.2020 20:00;0;0;0;0;0;0;0;0
20.06.2020 21:00;0;0;3;2400;0;0;2;1800
20.06.2020 22:00;0;0;0;0;0;0;0;0
20.06.2020 23:00;0;0;0;0;0;0;0;0
21.06.2020 00:00;0;0;0;0;0;0;0;0
21.06.2020 01:00;0;0;0;0;0;0;0;0
21.06.2020 02:00;0;0;0;0;0;0;0;0
21.06.2020 03:00;0;0;0;0;0;0;0;0
21.06.2020 04:00;0;0;0;0;0;0;0;0
21.06.2020 05:00;0;0;0;0;0;0;0;0
21.06.2020 06:00;0;0;0;0;0;0;0;0
21.06.2020 07:00;0;0;0;0;0;0;0;0
21.06.2020 08:00;0;0;0;0;0;0;0;0
21.06.2020 09:00;0;0;0;0;0;0;0;0
